"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 28 19:51:45 EET 2021","Sun Mar 28 19:51:46 EET 2021","606","","Learn More About Car Safety","","Learn More About Car Safety","should have the correct section: Car safety","should have the correct section: Car safety",""
"passed","Sun Mar 28 19:51:42 EET 2021","Sun Mar 28 19:51:43 EET 2021","335","","experitest.com page","","experitest.com page","should have the text under main video A million more","should have the text under main video A million more",""
"passed","Sun Mar 28 19:51:44 EET 2021","Sun Mar 28 19:51:49 EET 2021","4821","","experitest.com page","","experitest.com page","should have the Amy video clickable","should have the Amy video clickable",""
"passed","Sun Mar 28 19:51:29 EET 2021","Sun Mar 28 19:51:33 EET 2021","3963","","experitest.com page","","experitest.com page","should have the Amy video clickable","should have the Amy video clickable",""
"passed","Sun Mar 28 19:51:29 EET 2021","Sun Mar 28 19:51:29 EET 2021","307","","experitest.com page","","experitest.com page","should have the Amy video","should have the Amy video",""
"passed","Sun Mar 28 19:51:14 EET 2021","Sun Mar 28 19:51:26 EET 2021","12169","","experitest.com page","","experitest.com page","should have the right title","should have the right title",""
"passed","Sun Mar 28 19:51:42 EET 2021","Sun Mar 28 19:51:42 EET 2021","202","","experitest.com page","","experitest.com page","should have the right logo at top left corner","should have the right logo at top left corner",""
"passed","Sun Mar 28 19:51:43 EET 2021","Sun Mar 28 19:51:44 EET 2021","638","","experitest.com page","","experitest.com page","should have the Amy video","should have the Amy video",""
"passed","Sun Mar 28 19:51:27 EET 2021","Sun Mar 28 19:51:28 EET 2021","929","","experitest.com page","","experitest.com page","should have the main text","should have the main text",""
"passed","Sun Mar 28 19:51:34 EET 2021","Sun Mar 28 19:51:42 EET 2021","7780","","experitest.com page","","experitest.com page","should have the right title","should have the right title",""
"passed","Sun Mar 28 19:51:14 EET 2021","Sun Mar 28 19:51:26 EET 2021","12147","","Learn More About Car Safety","","Learn More About Car Safety","should have the correct title","should have the correct title",""
"passed","Sun Mar 28 19:51:28 EET 2021","Sun Mar 28 19:51:29 EET 2021","650","","experitest.com page","","experitest.com page","should have the button clickable WATCH THE STORY","should have the button clickable WATCH THE STORY",""
"passed","Sun Mar 28 19:51:43 EET 2021","Sun Mar 28 19:51:43 EET 2021","712","","experitest.com page","","experitest.com page","should have the button clickable WATCH THE STORY","should have the button clickable WATCH THE STORY",""
"passed","Sun Mar 28 19:51:42 EET 2021","Sun Mar 28 19:51:42 EET 2021","168","","experitest.com page","","experitest.com page","should have the video auto plays inline","should have the video auto plays inline",""
"passed","Sun Mar 28 19:51:26 EET 2021","Sun Mar 28 19:51:27 EET 2021","876","","experitest.com page","","experitest.com page","should have the right logo at top left corner","should have the right logo at top left corner",""
"passed","Sun Mar 28 19:51:42 EET 2021","Sun Mar 28 19:51:42 EET 2021","177","","experitest.com page","","experitest.com page","should have the main text","should have the main text",""
"passed","Sun Mar 28 19:51:40 EET 2021","Sun Mar 28 19:51:45 EET 2021","5141","","Learn More About Car Safety","","Learn More About Car Safety","should have the correct title","should have the correct title",""
"passed","Sun Mar 28 19:51:28 EET 2021","Sun Mar 28 19:51:28 EET 2021","175","","experitest.com page","","experitest.com page","should have the video auto plays inline","should have the video auto plays inline",""
"passed","Sun Mar 28 19:51:26 EET 2021","Sun Mar 28 19:51:27 EET 2021","1004","","Learn More About Car Safety","","Learn More About Car Safety","should have the correct section: Car safety","should have the correct section: Car safety",""
"passed","Sun Mar 28 19:51:28 EET 2021","Sun Mar 28 19:51:28 EET 2021","302","","experitest.com page","","experitest.com page","should have the text under main video A million more","should have the text under main video A million more",""
